FIR_ID,Police_Division,Police_Station,Date_of_FIR_Filing,Criminal_Act,Criminal_Activity,Locality,Investigating_Officer,Case_Solved,Criminal_Act_Applied,Victim_Gender,Victim_Count_Female,Victim_Count_Male,Convicted_Count,Convicted_Count_Male,Convicted_Count_Female,Modus_Operandi,FIR_Description,Formatted
8CE1790D,Swargate Division,Market Yard Police Station,2023-10-13,Smuggling,Individual,Hadapsar,Anjali Kulkarni,Yes,Smuggling,Male,2,0,0,0,0,Hidden in vehicles,"Smuggling by Hidden in vehicles in Hadapsar on 2023-10-13, 2 victims",Smuggling Hidden vehicles in Hadapsar
7C1FF939,Swargate Division,Market Yard Police Station,2025-08-22,Smuggling,Individual,KK Market,Neha Bhosale,Yes,Smuggling,Female,1,0,1,0,1,Human mules,"Smuggling by Human mules in KK Market on 2025-08-22, 1 victim",Smuggling Human mules KK Market
D31076EA,Swargate Division,Market Yard Police Station,2025-05-04,Smuggling,Individual,KK Market,Nitin Kadam,Yes,Smuggling,Female,3,0,1,1,0,Underground tunnels,"Smuggling by Underground tunnels in KK Market on 2025-05-04, 3 victims",Smuggling Underground tunnels KK Market
7D2DE32B,Pune Division,Camp Police Station,2025-05-07,Kidnapping,Gang,Camp,Ramesh More,No,Kidnapping,Male,1,0,0,0,0,Drugging,"Kidnapping by Drugging in Camp on 2025-05-07, 1 victim",Kidnapping Drugging Camp
8A99D863,Vishrambaug and Deccan Division,Kothrud Police Station,2024-03-22,Murder,Individual,Ideal Colony,Sneha Shinde,Yes,Murder,Other,1,3,2,2,0,Knife attack,"Murder by Knife attack in Ideal Colony on 2024-03-22, 4 victims",Murder Knife attack Ideal Colony
7644E8C2,Swargate Division,Bibvewadi Police Station,2025-05-23,Burglary,Individual,Parwati,Nitin Kadam,No,Burglary,Male,3,3,2,1,1,Window entry,"Burglary by Window entry in Parwati on 2025-05-23, 6 victims",Burglary Window entry Parwati
B1E0C16A,Pune Division,Kalyani Nagar Police Station,2022-12-31,Kidnapping,Gang,Viman Nagar,Sunil Deshmukh,Yes,Kidnapping,Female,1,2,2,1,1,Abduction in vehicle,"Kidnapping by Abduction in vehicle in Viman Nagar on 2022-12-31, 3 victims",Kidnapping Abduction vehicle in Viman Nagar
AD496876,Swargate Division,Bharati Vidyapeeth Police Station,2023-08-11,Human Trafficking,Gang,Trimurti Nagar,Swati Joshi,No,Human Trafficking,Female,0,1,1,0,1,Child trafficking,"Human Trafficking by Child trafficking in Trimurti Nagar on 2023-08-11, 1 victim",Human Trafficking Child trafficking Trimurti Nagar
09ED833E,Pune Division,Kalyani Nagar Police Station,2023-01-04,Smuggling,Individual,Kalyani Nagar,Anjali Kulkarni,No,Smuggling,Male,1,1,1,0,1,Hidden in vehicles,"Smuggling by Hidden in vehicles in Kalyani Nagar on 2023-01-04, 2 victims",Smuggling Hidden vehicles in Kalyani Nagar
4AB9805F,Vishrambaug and Deccan Division,Shivajinagar Police Station,2024-09-09,Burglary,Individual,Shivajinagar,Ramesh More,Yes,Burglary,Other,1,0,1,0,1,Window entry,"Burglary by Window entry in Shivajinagar on 2024-09-09, 1 victim",Burglary Window entry Shivajinagar
71BBE8CD,Swargate Division,Bibvewadi Police Station,2025-05-09,Smuggling,Gang,Katraj,Sunil Deshmukh,No,Smuggling,Other,3,1,4,2,2,Coastal boats,"Smuggling by Coastal boats in Katraj on 2025-05-09, 4 victims",Smuggling Coastal boats Katraj
AFF12970,Pune Division,Kalyani Nagar Police Station,2024-07-04,Burglary,Individual,Viman Nagar,Rajesh Patil,Yes,Burglary,Female,2,1,2,0,2,Night break-in,"Burglary by Night break-in in Viman Nagar on 2024-07-04, 3 victims",Burglary Night break-in Viman Nagar
C1D8B236,Sinhagad-Road Division,Nanded City Police Station,2023-06-19,Kidnapping,Individual,Khadakwasla,Rajesh Patil,Yes,Kidnapping,Female,0,2,1,1,0,Threatening with weapon,"Kidnapping by Threatening with weapon in Khadakwasla on 2023-06-19, 2 victims",Kidnapping Threatening with weapon Khadakwasla
213E1DDF,Swargate Division,Market Yard Police Station,2024-11-07,Kidnapping,Individual,Hadapsar,Neha Bhosale,Yes,Kidnapping,Male,1,1,1,0,1,Abduction in vehicle,"Kidnapping by Abduction in vehicle in Hadapsar on 2024-11-07, 2 victims",Kidnapping Abduction vehicle in Hadapsar
16328F4F,Sinhagad-Road Division,Narhe Police Station,2023-11-07,Murder,Gang,Ambegaon Budruk,Prashant Jadhav,Yes,Murder,Other,0,2,0,0,0,Knife attack,"Murder by Knife attack in Ambegaon Budruk on 2023-11-07, 2 victims",Murder Knife attack Ambegaon Budruk
3423F02F,Swargate Division,Bibvewadi Police Station,2025-06-07,Sexual Harassment,Gang,Parwati,Sunil Deshmukh,No,Sexual Harassment,Male,1,3,4,2,2,Stalking,"Sexual Harassment by Stalking in Parwati on 2025-06-07, 4 victims",Sexual Harassment Stalking Parwati
13A9431D,Sinhagad-Road Division,Sinhagad Road Police Station,2023-11-16,Illegal Arms Possession,Individual,Manik Baug,Prashant Jadhav,No,Illegal Arms Possession,Other,3,3,1,1,0,Hidden cache,"Illegal Arms Possession by Hidden cache in Manik Baug on 2023-11-16, 6 victims",Illegal Arms Possession Hidden cache Manik Baug
1751B1EB,Pune Division,Kalyani Nagar Police Station,2025-08-18,Extortion,Individual,Viman Nagar,Anjali Kulkarni,Yes,Extortion,Other,0,3,0,0,0,Cyber extortion,"Extortion by Cyber extortion in Viman Nagar on 2025-08-18, 3 victims",Extortion Cyber extortion Viman Nagar
5B6F2A20,Pune Division,Camp Police Station,2025-08-14,Fraud,Gang,Shaniwar Wada,Sunil Deshmukh,Yes,Fraud,Female,2,1,2,2,0,Ponzi schemes,"Fraud by Ponzi schemes in Shaniwar Wada on 2025-08-14, 3 victims",Fraud Ponzi schemes Shaniwar Wada
56B1371D,Swargate Division,Market Yard Police Station,2025-01-30,Fraud,Individual,KK Market,Ramesh More,No,Fraud,Other,1,2,0,0,0,Ponzi schemes,"Fraud by Ponzi schemes in KK Market on 2025-01-30, 3 victims",Fraud Ponzi schemes KK Market
9564195A,Pune Division,Kalyani Nagar Police Station,2024-02-22,Kidnapping,Individual,Koregaon Park,Sneha Shinde,No,Kidnapping,Female,2,2,1,0,1,Drugging,"Kidnapping by Drugging in Koregaon Park on 2024-02-22, 4 victims",Kidnapping Drugging Koregaon Park
6D0D52D3,Swargate Division,Market Yard Police Station,2023-03-30,Extortion,Gang,Hadapsar,Neha Bhosale,No,Extortion,Female,2,2,1,1,0,Blackmail,"Extortion by Blackmail in Hadapsar on 2023-03-30, 4 victims",Extortion Blackmail Hadapsar
A5724AEB,Swargate Division,Market Yard Police Station,2023-12-05,Cyber Crime,Gang,Bhekrai Nagar,Mahesh Pawar,Yes,Cyber Crime,Female,2,1,2,0,2,Phishing,"Cyber Crime by Phishing in Bhekrai Nagar on 2023-12-05, 3 victims",Cyber Crime Phishing Bhekrai Nagar
DE65FAF5,Vishrambaug and Deccan Division,Shivajinagar Police Station,2025-07-14,Cyber Crime,Gang,Shivajinagar,Swati Joshi,Yes,Cyber Crime,Other,2,1,0,0,0,Identity theft,"Cyber Crime by Identity theft in Shivajinagar on 2025-07-14, 3 victims",Cyber Crime Identity theft Shivajinagar
0631DF50,Pune Division,Camp Police Station,2024-04-14,Smuggling,Individual,Shaniwar Wada,Vaishali Chavan,No,Smuggling,Other,0,0,0,0,0,Underground tunnels,"Smuggling by Underground tunnels in Shaniwar Wada on 2024-04-14, 0 victims",Smuggling Underground tunnels Shaniwar Wada
872889DD,Vishrambaug and Deccan Division,Kothrud Police Station,2025-04-11,Drug Trafficking,Individual,Ideal Colony,Rajesh Patil,Yes,Drug Trafficking,Female,0,1,0,0,0,Air smuggling,"Drug Trafficking by Air smuggling in Ideal Colony on 2025-04-11, 1 victim",Drug Trafficking Air smuggling Ideal Colony
8E6340E4,Swargate Division,Bibvewadi Police Station,2023-01-12,Extortion,Individual,Katraj,Vaishali Chavan,Yes,Extortion,Other,1,3,2,1,1,Business coercion,"Extortion by Business coercion in Katraj on 2023-01-12, 4 victims",Extortion Business coercion Katraj
B51076B2,Sinhagad-Road Division,Nanded City Police Station,2023-11-04,Drug Trafficking,Individual,Nanded,Prashant Jadhav,Yes,Drug Trafficking,Female,2,2,0,0,0,Air smuggling,"Drug Trafficking by Air smuggling in Nanded on 2023-11-04, 4 victims",Drug Trafficking Air smuggling Nanded
33BB3B86,Sinhagad-Road Division,Narhe Police Station,2024-11-12,Human Trafficking,Individual,Ambegaon Budruk,Mahesh Pawar,No,Human Trafficking,Male,0,1,1,1,0,Sex trafficking,"Human Trafficking by Sex trafficking in Ambegaon Budruk on 2024-11-12, 1 victim",Human Trafficking Sex trafficking Ambegaon Budruk
227DEBEB,Vishrambaug and Deccan Division,Shivajinagar Police Station,2025-02-10,Human Trafficking,Individual,FC Road,Swati Joshi,Yes,Human Trafficking,Female,0,3,2,2,0,Forced marriage,"Human Trafficking by Forced marriage in FC Road on 2025-02-10, 3 victims",Human Trafficking Forced marriage FC Road
4067C461,Sinhagad-Road Division,Narhe Police Station,2022-12-21,Assault,Individual,Mokarwadi,Prashant Jadhav,No,Assault,Male,0,3,3,1,2,Bar fight,"Assault by Bar fight in Mokarwadi on 2022-12-21, 3 victims",Assault Bar fight Mokarwadi
1783C0B0,Sinhagad-Road Division,Sinhagad Road Police Station,2025-03-25,Drug Trafficking,Individual,Anandnagar,Prashant Jadhav,Yes,Drug Trafficking,Male,1,0,0,0,0,Sea route,"Drug Trafficking by Sea route in Anandnagar on 2025-03-25, 1 victim",Drug Trafficking Sea route Anandnagar
9B1FC36A,Swargate Division,Bharati Vidyapeeth Police Station,2024-09-02,Human Trafficking,Gang,Bharati Vidyapeeth,Anjali Kulkarni,No,Human Trafficking,Male,0,3,0,0,0,Job fraud,"Human Trafficking by Job fraud in Bharati Vidyapeeth on 2024-09-02, 3 victims",Human Trafficking Job fraud Bharati Vidyapeeth
D23A5A91,Swargate Division,Bharati Vidyapeeth Police Station,2023-05-01,Illegal Arms Possession,Gang,Trimurti Nagar,Sunil Deshmukh,No,Illegal Arms Possession,Other,2,1,0,0,0,Unlicensed firearm,"Illegal Arms Possession by Unlicensed firearm in Trimurti Nagar on 2023-05-01, 3 victims",Illegal Arms Possession Unlicensed firearm Trimurti Nagar
065AE09B,Sinhagad-Road Division,Nanded City Police Station,2023-08-16,Domestic Abuse,Individual,Dhayari,Sunil Deshmukh,Yes,Domestic Abuse,Male,2,2,2,2,0,Verbal threats,"Domestic Abuse by Verbal threats in Dhayari on 2023-08-16, 4 victims",Domestic Abuse Verbal threats Dhayari
FE5FFB2B,Vishrambaug and Deccan Division,Kothrud Police Station,2024-03-29,Burglary,Gang,Ideal Colony,Ramesh More,No,Burglary,Male,0,3,3,2,1,Night break-in,"Burglary by Night break-in in Ideal Colony on 2024-03-29, 3 victims",Burglary Night break-in Ideal Colony
98155DA6,Vishrambaug and Deccan Division,Shivajinagar Police Station,2024-02-03,Kidnapping,Gang,Shivajinagar,Swati Joshi,Yes,Kidnapping,Other,3,2,0,0,0,Drugging,"Kidnapping by Drugging in Shivajinagar on 2024-02-03, 5 victims",Kidnapping Drugging Shivajinagar
CE4E3196,Pune Division,Kalyani Nagar Police Station,2023-05-31,Illegal Arms Possession,Individual,Kalyani Nagar,Swati Joshi,Yes,Illegal Arms Possession,Male,1,2,2,0,2,Hidden cache,"Illegal Arms Possession by Hidden cache in Kalyani Nagar on 2023-05-31, 3 victims",Illegal Arms Possession Hidden cache Kalyani Nagar
AE3771B5,Sinhagad-Road Division,Sinhagad Road Police Station,2024-01-10,Domestic Abuse,Gang,Hingne,Mahesh Pawar,Yes,Domestic Abuse,Other,2,2,2,1,1,Financial control,"Domestic Abuse by Financial control in Hingne on 2024-01-10, 4 victims",Domestic Abuse Financial control Hingne
D2E5053E,Pune Division,Kalyani Nagar Police Station,2024-02-04,Drug Trafficking,Individual,Kalyani Nagar,Neha Bhosale,Yes,Drug Trafficking,Female,2,2,3,0,3,Body packing,"Drug Trafficking by Body packing in Kalyani Nagar on 2024-02-04, 4 victims",Drug Trafficking Body packing Kalyani Nagar
E272BD63,Pune Division,Kalyani Nagar Police Station,2024-05-08,Illegal Arms Possession,Individual,Viman Nagar,Sandeep Gaikwad,No,Illegal Arms Possession,Other,1,0,0,0,0,Homemade arms,"Illegal Arms Possession by Homemade arms in Viman Nagar on 2024-05-08, 1 victim",Illegal Arms Possession Homemade arms Viman Nagar
93BE076B,Pune Division,Camp Police Station,2023-01-07,Robbery,Gang,Camp,Neha Bhosale,No,Robbery,Male,1,3,1,0,1,Snatching,"Robbery by Snatching in Camp on 2023-01-07, 4 victims",Robbery Snatching Camp
F0A3C528,Swargate Division,Market Yard Police Station,2025-07-03,Assault,Individual,KK Market,Prashant Jadhav,No,Assault,Female,0,1,1,1,0,Political rally violence,"Assault by Political rally violence in KK Market on 2025-07-03, 1 victim",Assault Political rally violence KK Market
5EB29F41,Pune Division,Camp Police Station,2024-06-29,Sexual Harassment,Individual,Shaniwar Wada,Sneha Shinde,Yes,Sexual Harassment,Male,3,3,6,4,2,Verbal abuse,"Sexual Harassment by Verbal abuse in Shaniwar Wada on 2024-06-29, 6 victims",Sexual Harassment Verbal abuse Shaniwar Wada
524F615F,Pune Division,Kalyani Nagar Police Station,2025-06-22,Cyber Crime,Individual,Viman Nagar,Anjali Kulkarni,Yes,Cyber Crime,Male,3,0,1,0,1,Hacking,"Cyber Crime by Hacking in Viman Nagar on 2025-06-22, 3 victims",Cyber Crime Hacking Viman Nagar
E6D11C50,Sinhagad-Road Division,Sinhagad Road Police Station,2024-05-01,Kidnapping,Gang,Anandnagar,Vaishali Chavan,Yes,Kidnapping,Other,1,1,2,2,0,Online enticement,"Kidnapping by Online enticement in Anandnagar on 2024-05-01, 2 victims",Kidnapping Online enticement Anandnagar
B2FDC6B9,Vishrambaug and Deccan Division,Warje-Malwadi Police Station,2025-04-16,Sexual Harassment,Gang,Warje,Rajesh Patil,Yes,Sexual Harassment,Female,1,0,1,0,1,Physical harassment,"Sexual Harassment by Physical harassment in Warje on 2025-04-16, 1 victim",Sexual Harassment Physical harassment Warje
C6132276,Swargate Division,Bharati Vidyapeeth Police Station,2023-04-22,Homicide,Gang,Trimurti Nagar,Prashant Jadhav,Yes,Homicide,Other,0,2,1,0,1,Hit-and-run,"Homicide by Hit-and-run in Trimurti Nagar on 2023-04-22, 2 victims",Homicide Hit-and-run Trimurti Nagar
FF1331EA,Sinhagad-Road Division,Sinhagad Road Police Station,2024-02-13,Sexual Harassment,Gang,Hingne,Nitin Kadam,Yes,Sexual Harassment,Male,3,3,0,0,0,Physical harassment,"Sexual Harassment by Physical harassment in Hingne on 2024-02-13, 6 victims",Sexual Harassment Physical harassment Hingne
1DD3D799,Vishrambaug and Deccan Division,Warje-Malwadi Police Station,2023-01-14,Cyber Crime,Individual,Warje,Sandeep Gaikwad,Yes,Cyber Crime,Other,3,0,3,2,1,Phishing,"Cyber Crime by Phishing in Warje on 2023-01-14, 3 victims",Cyber Crime Phishing Warje
7FC0BFDB,Vishrambaug and Deccan Division,Shivajinagar Police Station,2023-05-29,Robbery,Gang,JM Road,Anjali Kulkarni,Yes,Robbery,Male,1,3,3,2,1,Breaking and entering,"Robbery by Breaking and entering in JM Road on 2023-05-29, 4 victims",Robbery Breaking and entering JM Road
BB1CBBEC,Vishrambaug and Deccan Division,Warje-Malwadi Police Station,2023-01-22,Burglary,Gang,Warje,Sunil Deshmukh,Yes,Burglary,Male,2,3,5,3,2,Impersonating delivery,"Burglary by Impersonating delivery in Warje on 2023-01-22, 5 victims",Burglary Impersonating delivery Warje
9F2D5D44,Pune Division,Kalyani Nagar Police Station,2023-04-30,Illegal Arms Possession,Individual,Kalyani Nagar,Nitin Kadam,No,Illegal Arms Possession,Other,3,2,1,0,1,Black market purchase,"Illegal Arms Possession by Black market purchase in Kalyani Nagar on 2023-04-30, 5 victims",Illegal Arms Possession Black market purchase Kalyani Nagar
257F5432,Vishrambaug and Deccan Division,Warje-Malwadi Police Station,2023-10-25,Domestic Abuse,Individual,Shivane,Swati Joshi,No,Domestic Abuse,Other,3,0,1,1,0,Financial control,"Domestic Abuse by Financial control in Shivane on 2023-10-25, 3 victims",Domestic Abuse Financial control Shivane
52759968,Pune Division,Camp Police Station,2023-12-07,Extortion,Individual,Shaniwar Wada,Neha Bhosale,No,Extortion,Female,1,3,4,2,2,Business coercion,"Extortion by Business coercion in Shaniwar Wada on 2023-12-07, 4 victims",Extortion Business coercion Shaniwar Wada
720E0211,Swargate Division,Market Yard Police Station,2024-12-28,Human Trafficking,Individual,KK Market,Sunil Deshmukh,Yes,Human Trafficking,Female,1,0,0,0,0,Bonded labor,"Human Trafficking by Bonded labor in KK Market on 2024-12-28, 1 victim",Human Trafficking Bonded labor KK Market
A4689D82,Sinhagad-Road Division,Narhe Police Station,2024-07-18,Cyber Crime,Gang,Mokarwadi,Sunil Deshmukh,No,Cyber Crime,Female,0,1,1,1,0,Hacking,"Cyber Crime by Hacking in Mokarwadi on 2024-07-18, 1 victim",Cyber Crime Hacking Mokarwadi
1AF61AFA,Pune Division,Camp Police Station,2023-10-14,Murder,Individual,Camp,Vaishali Chavan,No,Murder,Male,0,0,0,0,0,Gang violence,"Murder by Gang violence in Camp on 2023-10-14, 0 victims",Murder Gang violence Camp
93358CAB,Sinhagad-Road Division,Narhe Police Station,2023-09-23,Cyber Crime,Gang,Mokarwadi,Mahesh Pawar,Yes,Cyber Crime,Other,1,1,2,0,2,Hacking,"Cyber Crime by Hacking in Mokarwadi on 2023-09-23, 2 victims",Cyber Crime Hacking Mokarwadi
6E6439F6,Swargate Division,Market Yard Police Station,2024-01-06,Fraud,Gang,Magarpatta,Anjali Kulkarni,Yes,Fraud,Male,1,2,1,1,0,Ponzi schemes,"Fraud by Ponzi schemes in Magarpatta on 2024-01-06, 3 victims",Fraud Ponzi schemes Magarpatta
CA9607E6,Pune Division,Camp Police Station,2023-10-26,Cyber Crime,Gang,Laxmi Road,Swati Joshi,No,Cyber Crime,Other,2,0,2,0,2,Identity theft,"Cyber Crime by Identity theft in Laxmi Road on 2023-10-26, 2 victims",Cyber Crime Identity theft Laxmi Road
CEAB634B,Sinhagad-Road Division,Narhe Police Station,2023-01-05,Burglary,Gang,Ambegaon Budruk,Swati Joshi,Yes,Burglary,Male,0,1,0,0,0,Window entry,"Burglary by Window entry in Ambegaon Budruk on 2023-01-05, 1 victim",Burglary Window entry Ambegaon Budruk
5F4C1381,Vishrambaug and Deccan Division,Shivajinagar Police Station,2023-02-22,Robbery,Gang,JM Road,Sandeep Gaikwad,Yes,Robbery,Female,3,2,2,1,1,Highway robbery,"Robbery by Highway robbery in JM Road on 2023-02-22, 5 victims",Robbery Highway robbery JM Road
9D6E6C29,Sinhagad-Road Division,Sinhagad Road Police Station,2024-03-24,Illegal Arms Possession,Individual,Hingne,Sunil Deshmukh,Yes,Illegal Arms Possession,Male,1,1,0,0,0,Black market purchase,"Illegal Arms Possession by Black market purchase in Hingne on 2024-03-24, 2 victims",Illegal Arms Possession Black market purchase Hingne
C9B656D0,Sinhagad-Road Division,Narhe Police Station,2025-05-28,Homicide,Gang,Mokarwadi,Swati Joshi,No,Homicide,Other,3,3,0,0,0,Hit-and-run,"Homicide by Hit-and-run in Mokarwadi on 2025-05-28, 6 victims",Homicide Hit-and-run Mokarwadi
0BB18AF6,Pune Division,Kalyani Nagar Police Station,2025-03-11,Kidnapping,Gang,Viman Nagar,Prashant Jadhav,No,Kidnapping,Male,2,2,1,1,0,Abduction in vehicle,"Kidnapping by Abduction in vehicle in Viman Nagar on 2025-03-11, 4 victims",Kidnapping Abduction vehicle in Viman Nagar
C87EA03C,Pune Division,Camp Police Station,2024-07-26,Extortion,Gang,Camp,Ramesh More,No,Extortion,Female,1,0,1,0,1,Threat calls,"Extortion by Threat calls in Camp on 2024-07-26, 1 victim",Extortion Threat calls Camp
BAE1F580,Swargate Division,Bibvewadi Police Station,2024-04-27,Homicide,Gang,Katraj,Swati Joshi,Yes,Homicide,Male,0,3,2,2,0,Hit-and-run,"Homicide by Hit-and-run in Katraj on 2024-04-27, 3 victims",Homicide Hit-and-run Katraj
89D0158C,Swargate Division,Bharati Vidyapeeth Police Station,2024-03-23,Burglary,Gang,Trimurti Nagar,Anjali Kulkarni,Yes,Burglary,Other,0,1,1,1,0,Lock picking,"Burglary by Lock picking in Trimurti Nagar on 2024-03-23, 1 victim",Burglary Lock picking Trimurti Nagar
E637B65F,Vishrambaug and Deccan Division,Shivajinagar Police Station,2025-03-06,Burglary,Individual,JM Road,Swati Joshi,Yes,Burglary,Male,0,1,0,0,0,Window entry,"Burglary by Window entry in JM Road on 2025-03-06, 1 victim",Burglary Window entry JM Road
